labels	text
0	i dont now
1	I said what I said because of males where more cornix born in colder places
0	I think the first claim is partly right and partly wrong because if you look at the data close enough you will see that the highest temperature is 63.14 and the life cycle stage is a chrysalis and as the temperature goes down you see that the life cycle stage has changed into a caterpillar so the life cycle of stage of the butterflies is taking a bit longer.
0	This answer is false because looking at the temperature range, it's staying in the same range from 1960 and up.
1	I made a graph to show whether the temperature has been decreasing or not and the graph showed me that the weather has been increasing. So, it is false the weather has not been decreasing
1	I think this claim is false because if you see on the data when monarch butterfly's  are inside they can be a caterpillar or a chrysalis. But on the outside it shows that it can be the same as the indoor. Also as you can see lower temperatures and higher temperatures can both be caterpillars or chrysalis's. So I don't believe the temperature affects them or the habitat.
1	The population went down almost 900 million in only 17 years. The butterfly population went down 13 million in one year. Therefore, the population is going down rapidly!
0	The claim is that temperature of the the sand in Rain has been decreasing since 1960. I think that it is sort of true, because the highest the highest temp. that the sand reached was 86.72. that was in 2002. the lowest temp. that the sand reached was 83.75, that was in 1968. so the sand has been getting to temps. in between both those numbers.
0	I looked  at the smallest tempsort and it is 2002 With i found helpfullbeculs  In means it is NOT decreasing if 1960 is only 8456
0	well back when they first started keeping track it was the highest number and it was still really high then it was all over the place so it wasn't the same or it would have roughly the same numbers by years but they are just all over the place so i think they are wrong.
1	I think this claim is partly true and partly false. I think this because if you look at the males most of them have lower temperatures than the females. Most males are 85 to 80 for their temperatures. As you see most females are 85 and up. But some males are higher than 85 and some females are lower than 85. But as you see most females are higher than 85 and most males are lower than 85.
0	I think it is not changing because they are all different and all over the place with the temperature
0	it might of been decreasing because of the weather
0	I said it is false because when I looked at the data as the year went higher the temperature moving up. For example, in 1960 the temperature was 84 degrees and in 2014 it was 86 degrees.
1	I think that the temperature affects the turtle eggs hatching male or female because as you can see on my graph, most of the lower temperatures are male, and the higher temperatures are female.
0	In 1993 there was about 316 butterflies but in 2018 there was about 300 butterflies
0	because it says that on the recording page and every year it gets lower
0	I think the scientists are wrong the sands are not going down in temperature and the graph provides the evidence to support. Yes by the graph the sands go up and down every recorded time like it can go up then it can go down then back up then down but the last one is back up which supports my stupid claim
1	i think this claim is true because when the temperature  is warmer most of the butterflies stay inside. When, the temperature is colder most of them stay outside to make there chrysalis.
1	I can see that the Female has bigger numbers then the Males
0	I think this is true because if it is super cold outside the butter fly will be very cold and might freeze to death.  But if it is to hot the butter fly might die of heat.
0	The temperature has been mostly the same when you look at the data, so obviously, it wouldn't be decreasing over the years.
0	I know that this claim is false. I know this because the temperature is barley changing. Over all the temperature is increasing rather than decreasing. This claim is opposite from the truth.
1	I think this is partly true and partly false because their is one section where the graph doesn't support the claim of sand temperature affecting the gender. The graph also shows that the claim cant be fully false.
0	australias nesting area is the most important nesting area so it cant be decreasing
0	no because it goes from 85.21 to 86.72 also it keeps going from 84 to 85.
0	it goes up and down in the data.
1	I think it is partly true party false. If you look at the claim it is (the sand temperature affects weather leatherback eggs hatch as male or female.) Then look at the chart male temperature is from 85.19 to 80.60. Then look at female the temperature is from 88.8 to 84.20 so to me it looks like that if there is a higher temperature then there is a female and a lower temperature for a male. But I only think it is partly true partly false because the temperatures 84 and 85 are both in range for them both.
0	I think this claim is partly true partly false because it has to be a certain temperature for a cryselis to form.
0	i picked partly true and party false because i feel like a butterfly starts asa caterpillar then grows to be a butterfly like other butterfly like ones we have in maine like the ones that come out in the summer and they have to have temperature thats not to hot or cold that is what i think\
0	this is boring
0	I think this is true because global warming could change the temperature of the sand.
1	I think that the second claim is wrong because if you look at the chart close  enough you will see that the butterfly population is increasing in Mexico its not staying the same because if you at the chart under the word count the numbers show that the population is increasing not staying the same.
0	Because it is not straight line.
1	It has not decreased since 1960 it actually risen a little bit. Because, if you look on the chart 1960 the temperature was 84.56 put then in about ten years it dropped down a little bit but then rose back up, In 2002 the temperature was 86.72. It has risen 1.26 in the temperature.
0	because ofclimat change
1	there has been forest fires in Australia. its been alot hotter there since before the fire
1	it does affect how quickly it goes through the life cycle because there are more chrysalis in the warmer weather so the colder weather makes it harder for them to go through life cycle stages.
0	If it stayed about the same it would have been in the 30s but now it went from thirty three to 56.50 within a year.
0	Yes it has because it's been at a constant migration of the protest of the change of the butterfly started at 2020 to 1996.
0	Beaches the heat does not damage it but it could
0	I think is true its because the monarch butterflies like it warn in Mexico.
0	As seen in the chart sample one is shown the highest. If you look underneath it you can see sample number 27 and 26. This shows that the climate of the island has not changed very much. Yes, the last test is showed low but most of the other tests show high temperatures.
0	I think its only Party True / Partly False. I think this because if you look at the data you will see mainly in one locations its true about the claim but once you look at both you see that it's its not all true. Because for example #28 and #2 Work then if you look at another pair such as #22 and #26 it doesn't work in the slightest if you compare with the first example.
0	If you look at number 26 the temperature is 63.14 and the butterfly is in its chrysalis but if you look at number 29 the butterfly is a caterpillar
0	The graph shows that the temps of the sand have decrease but in some years they got higher.
0	i dont know
0	i think its true because the temperature affects whether leatherback eggs hack then they will die
0	I believe this claim is false. I believe it to be false because in the graph you can clearly see there is nearly an equivalent amount of male and female leatherback hatching. In addition, they are hatched in the same temperature range of about 80 to 85 Fahrenheit.
0	if the sand is hot it will effect the eggs
0	because I said so
0	lb
1	When you look at the chart pay attention to the numbers of the population. It was going downward! In 1993 the population was 3 million to 1996, 9 million now look at 2013, 33 million! It was in the hundred million not 10 million! You can not say it has stayed the same when it fell down to 10 million. I think the claim is False!
0	it will stay the same because it is warm all year around
1	because its going down every year
1	I think that the temperature in the sand in Rain Island, Australia has NOT been decreasing since 1960, because in our data, the temperature is actually increasing instead of decreasing, for example in 1960, the temperature was 84.5 F, and in 2016, the temperature is up to 85.5.
1	After studying the data I conclude that the sea turtles who were born when the sand temperatures were 84 degrees primarily turned out as females. But when the temperatures were 83.99 degrees and below the sea turtle were males.
0	in mexico the count of marnark butter fly stay the same because it is always worm there
1	The highest temperature was in 2002. The lowest temperature was in 1968. On my graph the temperature was going up and down not just a line going down. If anything the temperature is going up for 1960.
0	i said no because it says on the top temperature 85.80 and its a female and on the 2nd one down is says 85.04 and its a male
0	In 1996 there were 909.50 mil butterflies. But in 2013 there were 33.50 mill and that is not a lot.
1	I think this claim is partly true and false because the monarch count has stayed in the millions but the numbers have increasingly have gone way lower sense 1996.
0	I think its False because its not the first one to be the lowest number
0	At 1998 first to number is getting lower just like what the claim #2 have say about that Rain Island, Australia, has been decreasing since 1960. but then the rest is the increasing then decreasing. I might actually not really know what their meanings are.
0	I think that the population has gone up by so much it has gone up by like 800 million
1	It has decreased over the years in 1996 it was 909.50 and in 2013 it was 33.50. It has decreased a lot over the years so that statement is false. it almost went down 890.50
1	I think that it is partially true because it shows that the warmer the temperature the faster it will grow but, I believe this only goes for when the caterpillar is outside because it seems that when a caterpillar is inside it doesn't grow as quickly because  it's not in it's natural habitat.
1	if anything the temperature has bean going up in stead of down because if you look is goes from 84.56 all the way to 85.57
0	as you see the years to 1960 to 2016 the 1960 is at 84.56but the 2016 is at 85.57 so it is false
0	it does not ladder about the weather. It just ladders what the turtle gave birth to in the eggs.
0	i think its true because it said in the subtitle that this was true.
1	I think this claim is true because, when I organized the data by temperature, I saw some patterns. First, when the eggs were in the 54 - 59.36 degree range, they were all caterpillars. Second, when the eggs were in the 59.37 - 60.90 degree range, they were a mixture of caterpillars and chrysalises. Lastly, when the eggs were in the 60.91 - 64 degree range, they were all chrysalises. That is why I think the claim is true. The temperature of a monarch butterfly's habitat does affect how quickly it goes through its life cycle stages.
