labels	text
0	because
0	I think this is false because the count goes from like 90 to 400 to 30.  On the graph it goes from 50 to 200 to 900.  900 is the most.  If it stayed the same most of the data would be in a line.
1	The table shows that lower temperatures are males and higher temperatures are female
1	Yes this is true because I sorted the temps from low to high, and on average the lower temps were all male hatching. and the high temps were all female, so yes there is a correlation between sand temperature and the the gender of the eggs of leatherback turtles.
0	it went from 33.50 to 909.50
0	id bryan bryan bryan bryan bryan bryan bryan bryan bryan
0	I think this claim is partly true partly false because it has to be a certain temperature for a cryselis to form.
0	its partly true because sea turtles do lay there eggs in the sand its partly false because the sand temperature does not help the eggs hatch into a boy or a girl
1	sometimes the female leatherbacks are born around 84 degrees to 87 degrees.
1	In the data if we take the oldest date and the newest date, we will see that the water is accutaully is increasing.
1	"For the first 2 data reports, both ""butterflies"" were outside. 2\'s butterfly was outside in warmer weather, and was a chrysalis already. 1\'s butterfly\'s was in a cooler weather than 2 so warmer weather does speed up the life cycle of a butterfly."
0	The reason why I think it is false is because it can't be true.
1	I think it is false. So look at the chart at 1960 the temperature is 84.56 but almost every year after that it has been 85 or 86 but some have been 84 but most are higher on 84. But on 1964,1970 and 1972 are all lower but it said that it has been decreasing since 1960 which means every year after that but way more are higher plus the last year is 85.57 which is also higher.
1	I think this claim is true because, when I organized the data by temperature, I saw some patterns. First, when the eggs were in the 54 - 59.36 degree range, they were all caterpillars. Second, when the eggs were in the 59.37 - 60.90 degree range, they were a mixture of caterpillars and chrysalises. Lastly, when the eggs were in the 60.91 - 64 degree range, they were all chrysalises. That is why I think the claim is true. The temperature of a monarch butterfly's habitat does affect how quickly it goes through its life cycle stages.
0	when they keep tract of them they can see were they are Going
0	the article said so
0	I think that the temperature can affect how fast the butterfly goes through it's life cycles because you don't want the temperature to be too hot or too cold, so I think that the outside was perfect temperature because if it was too hot the butterfly would probably not be able to grow as fast but you would want kind of hot so a little hotter then warm. You don't really want it to be that cold for a butterfly because then it won't grow fast you barely want any cold.
0	3 males were born in very hot sand and 2 females were born in coldsand
0	Because more and more butterflies come there each year.
1	The sand temperature affects whether leather-back eggs hatch as male or female because scientific research proves that when the eggs have been laid in warmer sand, the turtle is a female. When the egg is laid in cooler sand, the turtle is a male. Also, These turtles have been laid in different locations. So we know that in Playa the turtles don't tend to be female. That part is totally random. The Male and Female's were both scattered around Playa and Surname.
0	its false because we don't have enough information.
1	the temp is increasing
1	I found that the butterflies grow more in warmer weather.   The butterflies in 54 degrees were still in the caterpillar stage.  But in the 62 degree range they were in the chrysalis stage.  That shows they grew more.
0	This answer is false because looking at the temperature range, it's staying in the same range from 1960 and up.
1	females only hatch above 85 degrees and males hatch at 85 degrees and lower
1	I think it is true because in the data the lower temperature the more males and the higher temperature the more females.
0	because if its to cold it might freeze, killing the butterfly, and if its to warm or hot it could die of exhaustion or it could over-heat causing the stages of a butterfly to slow down.
0	The numbers of the butterfly is not the same
1	The highest temperatures of sand are normally when females are born. The lowest temperatures are mostly male.
1	i think this claim is true because when the temperature  is warmer most of the butterflies stay inside. When, the temperature is colder most of them stay outside to make there chrysalis.
0	i think the claim is false because the number of butter flies has changed
1	when it is the warmer climates the eggs are female and when the climates are below 85  they are male
0	they won be dead of the temprchor.
0	I think is true its because the monarch butterflies like it warn in Mexico.
1	higher the temperature the more females hatched
0	it is the same speed going throne life size.
0	hdjhvjusdnvh
0	because in the 1990s there was maybe half 84 and half 85 but in the 2000s it is  more 84 than 85 I sorted it by year so I could see the difference between years in order I just checked if it was not just the 2000s they were talking about but it did not matter.
0	because it said it in the reading
0	I think this clam is false, Because well I was reading it said that we have to keep estimating the range, Because more Monarch Butterfly's keep coming to the perfect whether in Mexico to the forest.
0	it goes up and down in the data.
0	in mexico the count of marnark butter fly stay the same because it is always worm there
0	fight
0	Sample 1 & Sample 2 were about the same temp but were Male and Female.But in Sample 23 & 24 the temp was 4 degrees different,but were also Male and Female.
1	When I was looking at the evidence, I noticed that all of the males were in sand of the temperature 85.19, and lower. all of the females were born at the temperature of 84.20 and higher. So to conclude the males are born at colder temperatures, and the females were born at slightly warmer temperatures.
0	all the temperatures are reasonably close to each other
1	I think that the graf maps it clear that the populaeshun is going down.
